Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
44708,1,,3 out of 4,,,*-9 Delhi,Semi-Furnished,B)ach'elors/Family,1,Contact Agent,16000
44702,3,1250,2 out of 3,Super Area,Cghs apts.,India-: Delhi,Semi-Furnished,Bachelors/Famil[?y,2,Contact Owner,22000
44720,2,480,1 out of 4,,Rohini Sector 21,,Semi-Furnished,,,Contact Owner,9000
44729,2,,2 out of 4,Carpet Area,Paschim Vihar,.-9 Delhi,Semi-Furnished,,2,Contact Agent,20200
44727,2,84,2 out of 4,Carpet Area,Paschim Vihar Block A6,{-9 Delhi,,Bachelor?-s,2,Contact Agent,19500
44751,2,600,3 out of 4,Carpet Area,"Arjun Nagar, Safdarjung Enclave",]-9 Delhi,Semi-Furnished,?Bachel(ors,2.0 Bathrooms,Contact Agent,21000
44748,2,,Ground out of 4,,"Arjun Nagar, Safdarjung Enclave",India-= Delhi,Semi-Furnished,Ba!]chelors,2,Contact Agent,20000
,,720,2 out of 4,,Govindpuri Main,}-9 Delhi,,Bachel?ors/F:amily,2,Contact Owner,13000
44708,2,75,1 out of 1,,Najafgarh,India-< Delhi,,=Bachelors/Fam/ily,1,Contact Owner,6500
44680,3,1000,1 out of 4,Super Area,,[-9 Delhi,Unfurnished,Bachelors/F^amil=y,2,Contact Owner,25000
44700,2,,2 out of 4,,Malviya Nagar,India-% Delhi,Semi-Furnished,Bachel!or|s,2,Contact Agent,20000
44740,2,2200,1 out of 1,,,"""-9 Delhi",Semi-Furnished,F=am+ily,2,Contact Owner,33000
44715,3,900,,Carpet Area,Mayur Vihar 3,*-9 Delhi,Semi-Furnished,Ba?chelors/Fami[ly,1.0 Bathrooms,Contact Owner,18000
,1,550,3 out of 3,Carpet Area,Pitampura,India-) Delhi,Semi-Furnished,Bachelors/F_%amily,1,Contact Owner,13000
44680,2,450,,Super Area,Palam,]-9 Delhi,Furnished,"Bach,elors/Fami$ly",1,Contact Owner,10000
44680,2,470,2 out of 4,Super Area,Pul Prahlad Pur,India-% Delhi,,,2,Contact Owner,10000
44691,3,125,3 out of 4,Super Area,"Khirki extension, Malviya Nagar",,Semi-Furnished,Bachelors/Fami?l&y,2,Contact Owner,23000
44708,1,400,3 out of 4,,,>-9 Delhi,Furnished,Bachelor}s/Fami)ly,1,Contact Agent,20000
44704,4,2600,2 out of 2,,,India-_ Delhi,Semi-Furnished,B*achelors/Fami#ly,,,150000
44695,,1500,5 out of 10,Carpet Area,"DJA Apartments, Dwarka Sector 13",|-9 Delhi,Semi-Furnished,Bachelors/_Famil+y,3,Contact Agent,25000
44691,2,80,3 out of 4,Super Area,,)-9 Delhi,Semi-Furnished,Bac!helo%rs/Family,1,Contact Owner,21000
44746,,1100,3 out of 3,,Dwarka Sector 9,India-% Delhi,,Bachel+o;rs/Family,2,Contact Owner,30000
44716,2,,4 out of 5,Super Area,Vasant Kunj,,Semi-Furnished,Bachelors/Fa\m&ily,2,,22000
44680,,800,3 out of 5,,Mehrauli,*-9 Delhi,Unfurnished,Bach@elors/Fami\ly,2,,14000
,2,50,2 out of 5,Super Area,Dwarka Sector 14,!-9 Delhi,Furnished,"Bache%lors/Fami,ly",1,Contact Owner,7000
44704,2,1000,2 out of 5,Super Area,"Kishangarh, Vasant Kunj",,Semi-Furnished,Bachel_ors/Fami?ly,2,Contact Owner,18500
44699,,550,2 out of 3,Carpet Area,Chhattarpur Enclave,,Unfurnished,B|achelors},1,Contact Agent,8500
44699,1,450,Ground out of 4,Carpet Area,Chhattarpur Enclave,,Unfurnished,"B,ac>helors",1,Contact Agent,8000
,2,670,2 out of 4,Super Area,Ram Nagar,:-9 Delhi,Furnished,,2,Contact Owner,10000
44695,2,700,1 out of 3,Super Area,Dwarka,India-@ Delhi,Semi-Furnished,Bache)lors//Family,1,,15000
44686,3,125,3 out of 4,,"Vikram Vihar, Lajpat Nagar",*-9 Delhi,Semi-Furnished,Bachelo:r|s,2,Contact Owner,37000
44742,3,1872,,Super Area,Greater Kailash 1,India-* Delhi,Semi-Furnished,Bachelor)*s/Family,3,Contact Agent,90000
44699,2,,2 out of 4,Carpet Area,Chhattarpur Enclave,India-$ Delhi,Unfurnished,Bachelors/F]a}mily,1,,12000
44699,2,550,1 out of 4,,,\-9 Delhi,,"Bachel""o>rs",2,Contact Agent,13000
44702,2,84,Ground out of 4,Carpet Area,Paschim Vihar,India-% Delhi,Semi-Furnished,B%achelo#rs,2,Contact Agent,22000
44731,,90,,Super Area,Gopalpur,.-9 Delhi,Unfurnished,Ba<chelors/?Family,2,Contact Owner,4000
,2,1000,1 out of 4,Super Area,Laxmi Nagar,.-9 Delhi,Unfurnished,'Bachelors/Family>,2.0 Bathrooms,Contact Owner,12000
44695,1,65,3 out of 4,Super Area,Lado Sarai,,Unfurnished,Bach[elors/>Family,1,Contact Owner,9000
44686,2,,2 out of 4,,Pandav Nagar,India-' Delhi,Unfurnished,:Bachelors/Fami&ly,1,Contact Owner,14000
44748,,250,Ground out of 4,Carpet Area,"Arjun Nagar, Safdarjung Enclave",,Furnished,Bache(lo#rs,1,Contact Agent,15000
44691,2,,3 out of 4,,Surya Apartment pocket a11,India-[ Delhi,Unfurnished,Bach-/elors,2,Contact Owner,12500
44748,,900,3 out of 4,Carpet Area,"Arjun Nagar, Safdarjung Enclave",(-9 Delhi,Semi-Furnished,Bachelo:/rs,3,Contact Agent,30000
44743,2,650,Ground out of 3,Super Area,,#-9 Delhi,Unfurnished,'Bachelors/Fam/ily,2,Contact Owner,9500
44700,2,,4 out of 5,Super Area,,India-> Delhi,Semi-Furnished,.Bache:lors/Family,2,,15000
44700,,800,3 out of 5,Super Area,Rohini Sector 3,)-9 Delhi,Semi-Furnished,Bachelo'rs/Fa[mily,1,Contact Owner,12000
44742,1,410,2 out of 4,Carpet Area,Dwarka Sector 23B,,Unfurnished,Ba*ch*elors,1,Contact Owner,8000
44686,,1500,2 out of 3,,Rajouri Garden,India-) Delhi,Furnished,Bach]elors/Fam-ily,3,Contact Owner,70000
,,2800,2 out of 3,Carpet Area,,India-+ Delhi,Unfurnished,Bache(lors/#Family,4,,250000
44736,3.0 room,,2 out of 4,,Pitampura,|-9 Delhi,Semi-Furnished,Bach)el>ors,2,Contact Agent,31500
,2,1400,Ground out of 4,Carpet Area,"Sarita Vihar, Mathura Road",India-/ Delhi,Semi-Furnished,,2,Contact Agent,30000
44695,,1600,,Super Area,Greater Kailash,India-? Delhi,Semi-Furnished,,3,Contact Owner,60000
44716,3,,3 out of 4,Carpet Area,Rajouri Garden,India-\ Delhi,Semi-Furnished,Ba'chelor}s,2,,35000
44745,3,1150,2 out of 4,,"Vikram Vihar, Lajpat Nagar",India-- Delhi,Unfurnished,"B%ac,helors/Family",3,Contact Agent,55000
44686,2,110,Ground out of 2,Super Area,Karawal Nagar,]-9 Delhi,Semi-Furnished,Bachel[ors/_Family,1,Contact Owner,20000
44715,1,300,3 out of 3,Super Area,"Tagore Garden, Rajouri Garden, Najafgarh Road",India-^ Delhi,,Bachelo%rs/Fam+ily,1,Contact Owner,6500
,2,750,1 out of 4,Carpet Area,,'-9 Delhi,Semi-Furnished,,2,Contact Agent,17000
44751,1,450,1 out of 4,,Paschim Vihar Block A6,,Semi-Furnished,,1,Contact Agent,9300
44742,,410,2 out of 4,Super Area,Ghitorni,,Unfurnished,B+achel|ors/Family,1,Contact Owner,7500
44720,2,800,,Super Area,Janakpuri,India-= Delhi,Furnished,B\achelors/Fami?ly,1.0 Bathrooms,Contact Owner,20000
44680,3,,,Super Area,Bhalswa,India-> Delhi,Furnished,_Bachelors/F%amily,3,Contact Owner,18000
44732,,,2 out of 4,,Saket,India-% Delhi,Furnished,",Ba+chelors",1,,15000
44695,2,400,2 out of 4,Carpet Area,kst chattarpur Apartments,@-9 Delhi,Unfurnished,Bach.e&lors,,Contact Agent,13000
44680,2,810,,,Vikaspuri,/-9 Delhi,Semi-Furnished,"Bach,el.ors/Family",2,Contact Owner,20000
44734,3,700,1 out of 3,Super Area,"Indraprastha Extension, Patparganj",:-9 Delhi,Furnished,"Bachelors/""Fami}ly",2,Contact Owner,12000
,,1125,Ground out of 2,Super Area,,"India-"" Delhi",Furnished,,2,Contact Owner,40000
,2,600,4 out of 5,,Rohini Sector 7,|-9 Delhi,,?Bachel>ors/Family,2,Contact Owner,8000
,3,1300,1 out of 4,Carpet Area,South Extension 1,"""-9 Delhi",Furnished,Bachel:or#s,3,Contact Agent,95000
,3,1450,2 out of 4,,Lajpat Nagar 3,India-{ Delhi,Semi-Furnished,=+!Bachelors/Family,3,Contact Agent,68000
,3,110,1 out of 5,Super Area,Tri Nagar,,Unfurnished,Bache>lors@/Family,,Contact Owner,18000
44740,4,3500,1 out of 3,Carpet Area,,/-9 Delhi,Semi-Furnished,Bachelo)(rs,6,Contact Agent,130000
44740,4,4000,3 out of 3,Carpet Area,West End,,Semi-Furnished,,7,Contact Agent,150000
44740,3,,1 out of 3,Carpet Area,Sarvodaya Enclave,?-9 Delhi,Semi-Furnished,"Bach""elo}rs",4,Contact Agent,75000
44718,4,3000,2 out of 4,Carpet Area,,,Semi-Furnished,,5,Contact Agent,110000
44740,4,3500,3 out of 3,Carpet Area,Vasant Vihar,{-9 Delhi,Semi-Furnished,B=>achelors,,Contact Agent,150000
44711,1,,4 out of 5,,Malviya Nagar,India-; Delhi,Semi-Furnished,,1,Contact Owner,10000
44699,3,,2 out of 4,Carpet Area,,India-. Delhi,Unfurnished,"B""ache""lors",2,Contact Agent,24000
44704,3,1000,2 out of 5,,Rohini Sector 24,,Semi-Furnished,Bach#elors</Family,,,28000
44743,3,900,2 out of 4,Carpet Area,"Panchsheel Vihar, Sheikh Sarai",/-9 Delhi,Unfurnished,Bac*hel<ors,2,Contact Owner,28000
44749,2,900,Ground out of 4,,Jhilmil Colony,India-& Delhi,Semi-Furnished,,2,Contact Agent,18000
44699,3,,3 out of 4,Carpet Area,Chhattarpur Enclave,_-9 Delhi,Unfurnished,B|achelo>rs/Family,3,Contact Agent,27000
44699,2,650,2 out of 4,,Chhattarpur Enclave,India-: Delhi,,,2,,17000
,3,,1 out of 2,Super Area,Sundar Nagar,&-9 Delhi,Semi-Furnished,"Bache,lo;rs/Family",4,,350000
44680,2,900,2 out of 3,Super Area,Pitampura,{-9 Delhi,Semi-Furnished,Bac:helors/Fami@ly,1,Contact Owner,25000
44699,3,1250,2 out of 4,Carpet Area,Chattarpur Extension,[-9 Delhi,,Bachelor!)s,2,Contact Agent,16500
,2,60,3 out of 3,Carpet Area,Rohini Sector 21,,Semi-Furnished,,2,,14000
44680,2,90,3 out of 4,Super Area,Mahaveer Nagar,,Unfurnished,Bachelors/Fa<m}ily,2,Contact Owner,18000
44691,,55,3 out of 4,,Peera Garhi,&-9 Delhi,Unfurnished,]Bachelors/Fami^ly,1,Contact Owner,10000
44680,,50,1 out of 2,Super Area,Dwarka Sector 8,|-9 Delhi,Unfurnished,Bachel?(ors/Family,,Contact Owner,10000
44705,4,400,Ground out of 4,,Sarvodaya Enclave,India-[ Delhi,Unfurnished,Ba|chelors/Fami{ly,4,Contact Agent,100000
44750,2,680,2 out of 4,Carpet Area,Pitampura,India-$ Delhi,Furnished,!Bachel@ors,1,Contact Agent,25000
44727,2,756,,Carpet Area,Paschim Vihar Block A3,'-9 Delhi,Semi-Furnished,"B""ache*lors",2,Contact Agent,22999
44686,2,500,2 out of 3,Super Area,,,Unfurnished,,1,Contact Owner,6000
,2,900,Ground out of 3,Carpet Area,Vasant Kunj,India-@ Delhi,Furnished,Bache<lors/Fa<mily,2,Contact Owner,40000
,3,2000,3 out of 6,,Defence Colony,--9 Delhi,Furnished,Bachelors@/Family=,3,Contact Owner,250000
44742,1,40,3 out of 3,Carpet Area,Shalimar bagh,{-9 Delhi,Furnished,Ba)chelor?s/Family,1,Contact Agent,13000
44724,1,100,,Super Area,Chittaranjan Park,_-9 Delhi,Furnished,B-achelo_rs/Family,1,Contact Agent,14000
44711,2,950,2 out of 3,Carpet Area,"Geeta Colony PRWS Block 3 And 7, Rajgarh Colony",|-9 Delhi,Semi-Furnished,B^a/chelors/Family,2.0 Bathrooms,Contact Owner,20000
44729,1,,,Carpet Area,Sultanpur,#-9 Delhi,Furnished,Ba{chelor$s,1,Contact Owner,5500
44748,2,900,Ground out of 4,,Lajpat Nagar,@-9 Delhi,Furnished,"Bachelors/Fami""ly;",2,Contact Agent,32000
,2,,1 out of 4,Super Area,Mehrauli,=-9 Delhi,Semi-Furnished,B|achelor/s/Family,,Contact Owner,8000
44699,3,1400,3 out of 4,Carpet Area,Palam Extension,|-9 Delhi,Unfurnished,(Fa\mily,3,Contact Agent,25000
44742,2,100,2 out of 4,Carpet Area,Shalimar bagh,India-. Delhi,Semi-Furnished,Bac=helo?rs/Family,2,Contact Agent,28000
44724,2,100,1 out of 2,Super Area,,\-9 Delhi,Semi-Furnished,Bachelors/%Fami>ly,2,Contact Agent,22000
44724,1,100,Ground out of 1,,Chittaranjan Park,--9 Delhi,Semi-Furnished,Bachelo.rs/Fa?mily,,Contact Agent,21000
,2,1000,,Super Area,"DDA Flats Sector E Pocket 1, Vasant Kunj",India-$ Delhi,Semi-Furnished,Bac%helors/Fa?mily,2,Contact Agent,30000
44742,1,400,2 out of 4,Carpet Area,Lajpat Nagar,@-9 Delhi,Unfurnished,Bachelo^rs/Fam^ily,1,Contact Agent,12000
44735,1,70,2 out of 3,Super Area,DS 19,;-9 Delhi,Unfurnished,Bachelor&s/F=amily,1,Contact Owner,15000
,1,450,,Carpet Area,"DDA Flat AD Block, Shalimar Bagh AD Block",=-9 Delhi,Furnished,,1,Contact Owner,18000
44743,2,900,3 out of 4,Carpet Area,"Acharya Niketan, Mayur Vihar",#-9 Delhi,Unfurnished,Bachelo+rs/Fam-ily,1,Contact Owner,18000
44680,1,42,Ground out of 3,Super Area,Dwarka Sector 23,India-( Delhi,Semi-Furnished,Bach;elo'rs/Family,1,Contact Owner,10000
44742,1,,2 out of 4,Carpet Area,Lajpat Nagar,!-9 Delhi,Furnished,Bach]elors/>Family,1,Contact Agent,16000
44679,2,,3 out of 3,Carpet Area,Amarpali Apartment,India-[ Delhi,Semi-Furnished,Bache|lor;s,2,Contact Owner,20000
44712,4,,2 out of 4,Carpet Area,Rohini Sector 24,#-9 Delhi,,Bache'lors/Fa<mily,2,Contact Agent,28000
44712,1,70,1 out of 4,Super Area,Palam,{-9 Delhi,Semi-Furnished,Bache)lor_s/Family,1,,7000
44720,2,450,Ground out of 1,,Sethi floor nihal vihar,(-9 Delhi,Furnished,B?achel'ors/Family,,Contact Owner,30000
44744,2,900,,Carpet Area,Hari Nagar,"India-"" Delhi",Semi-Furnished,")Bachel,ors/Family",,Contact Owner,15000
,1,500,1 out of 5,,Main Ghitorni,#-9 Delhi,,Bachel#ors/Fa[mily,1,Contact Owner,8000
44749,1,400,2 out of 3,,,]-9 Delhi,Unfurnished,Bac$helo>rs/Family,2,Contact Agent,9000
44717,3,,2 out of 4,Carpet Area,Paschim Vihar Block A3,.-9 Delhi,Semi-Furnished,"Bac,he""lors",2,Contact Agent,33500
44729,1,450,1 out of 3,,Neb Sarai,India-' Delhi,Unfurnished,,1,Contact Owner,9500
44704,2,540,1 out of 4,Super Area,"Baljit Nagar, Patel Nagar",<-9 Delhi,,"Bach""el,ors/Family",1,Contact Owner,10000
44742,1,400,3 out of 4,Carpet Area,,*-9 Delhi,Furnished,Bachelors/Fa>mily+,,,20000
44699,1,450,2 out of 4,Carpet Area,"Chhattarpur Enclave Phase1, Chhattarpur",India-> Delhi,Unfurnished,Bac}<helors/Family,1,Contact Agent,10000
44691,1,,,Super Area,DS 19,)-9 Delhi,Unfurnished,Bachelor@s/Famil[y,1,Contact Owner,15000
,3,1450,Ground out of 4,Carpet Area,Vasant Kunj,!-9 Delhi,Furnished,Bac!helor.s,2,,55000
44729,2,1000,2 out of 4,Carpet Area,,,Semi-Furnished,=+Bachel&ors,2,Contact Agent,20000
44736,2,550,,Carpet Area,Saket,India-_ Delhi,Semi-Furnished,Bach?e}lors,2,Contact Agent,16000
44712,2,900,,Carpet Area,"DDA Flats Block B3, Keshav Puram, Tri Nagar",&-9 Delhi,Furnished,Bachelors/|Famil%y,2,Contact Owner,23000
44739,3,300,2 out of 2,Super Area,Panchsheel Park,+-9 Delhi,Semi-Furnished,_Bachelo$rs/Family,3,Contact Agent,150000
44744,2,1100,Ground out of 3,Super Area,New Delhi,@-9 Delhi,Unfurnished,Bachelo_rs/Famil>y,2,Contact Owner,25000
44736,,,1 out of 4,Carpet Area,Saket,India-! Delhi,Semi-Furnished,Bach>elo.rs,1,Contact Agent,9000
44736,1,450,3 out of 4,Super Area,"Manak Vihar, Anand Vihar",India-[ Delhi,Semi-Furnished,Ba:chelors_,1,Contact Owner,11000
44733,2,550,2 out of 4,Carpet Area,Mayur Vihar 1,,Unfurnished,,1,Contact Agent,11500
44735,3,1000,,,Dwarka Mor,,Unfurnished,-Bachelors/Family;,2,Contact Agent,16000
44699,3,1250,,Carpet Area,Chhattarpur Enclave,<-9 Delhi,Unfurnished,Bachel}o:rs,2,,23000
44699,4,1950,2 out of 4,Carpet Area,Chhattarpur Enclave,India-_ Delhi,Semi-Furnished,Bac%helor\s/Family,4,Contact Agent,30000
44737,3,1750,,,,--9 Delhi,,B;ac=helors,4,Contact Agent,110000
44716,,25,3 out of 4,Super Area,Burari,India-( Delhi,Unfurnished,"B&achelors/Famil,y",1,Contact Owner,3500
44724,,700,3 out of 4,Carpet Area,Shadipur,India-} Delhi,Unfurnished,"Bach,e'lors",1,Contact Agent,12100
44746,2,,1 out of 2,Carpet Area,"Naveen Shahdara, Shahdara",--9 Delhi,Unfurnished,B}?achelors,1,Contact Owner,19000
44706,2,1000,3 out of 3,Super Area,Greater Kailash 2,@-9 Delhi,Furnished,Bac>helors/Fam<ily,2,Contact Owner,40000
44708,2,200,2 out of 3,Super Area,Najafgarh,,Unfurnished,B/achelors/Fa#mily,1,Contact Owner,8000
44747,3,1700,2 out of 4,Carpet Area,Pitampura,,Semi-Furnished,|B#achelors,3,Contact Agent,42000
44716,,,Ground out of 4,Super Area,Pandav Nagar,India-/ Delhi,,?Bachelors/Fa(mily,,Contact Owner,13000
44747,3,,3 out of 4,Carpet Area,Pitampura,}-9 Delhi,,=Bachel.ors,3,Contact Agent,44000
44737,,450.0Square Feet,1 out of 4,Carpet Area,Saket,|-9 Delhi,Semi-Furnished,,1,Contact Agent,11000
44747,,1350,2 out of 3,,Safdarjung Enclave,India-( Delhi,Semi-Furnished,$Bachelors%,3,Contact Agent,40000
44712,4,,3 out of 4,Super Area,Greater Kailash 1,=-9 Delhi,Semi-Furnished,,4,Contact Agent,150000
44699,2,650,2 out of 4,,,&-9 Delhi,Unfurnished,Bac.helors/Family^,2,Contact Agent,13000
44699,2,650,2 out of 4,,Chhattarpur,India-! Delhi,,Bachelor[s[/Family,,Contact Agent,17500
44699,,1250,1 out of 4,,Chhattarpur,India-{ Delhi,Unfurnished,Bachelor!:s/Family,3,Contact Agent,14500
44699,,,2 out of 4,Carpet Area,Chhattarpur,--9 Delhi,Unfurnished,Ba)chelor?s,2,Contact Agent,24000
44727,3,1000,3 out of 4,,Mayur Vihar Phase 1 Extension,[-9 Delhi,Unfurnished,Bachelors/Fami:ly},2,Contact Owner,30000
44712,1,500,2 out of 3,Super Area,,,Semi-Furnished,,1,Contact Owner,10000
44728,1,500,,Carpet Area,Neb Sarai,India-< Delhi,Semi-Furnished,B$achelo^rs/Family,1,Contact Agent,10000
,3,,2 out of 4,Carpet Area,Safdarjung Enclave,<-9 Delhi,Semi-Furnished,B}achelors;,,Contact Agent,90000
44726,,3800,1 out of 4,Carpet Area,"Maharani Bagh, New Friends Colony",,Semi-Furnished,,5,Contact Agent,280000
44740,2,,1 out of 4,Super Area,Shalimar bagh,^-9 Delhi,Unfurnished,Bachel][ors,2,Contact Owner,32000
44707,3,2000,3 out of 4,Carpet Area,,,Unfurnished,Bachelo>rs/$Family,3,,80000
44680,1,30,2 out of 3,Carpet Area,B-7 veer Singh colony Budh vihar phase 2 delhi,'-9 Delhi,Furnished,\Bachelors'/Family,1,Contact Owner,5500
,1,50,3 out of 4,Carpet Area,Mahavir Enclave Part 3,=-9 Delhi,,Bach|elor:s,1,Contact Owner,6000
44708,3,1205,2 out of 4,Super Area,Dwarka Sector 5,India-< Delhi,,Ba%chelors/Famil*y,2,Contact Owner,30000
44724,,1450,,Carpet Area,Vasant Kunj,<-9 Delhi,Semi-Furnished,B\ache$lors,,Contact Agent,42000
44679,1,200,2 out of 4,Super Area,Pusa Institutional Area,India-} Delhi,Unfurnished,Bach{elors/F]amily,1,Contact Owner,5500
44720,2,350,2 out of 4,,Raj Nagar 2,"""-9 Delhi",Semi-Furnished,Bachelors/%Family^,2,Contact Owner,7000
44732,,700,Ground out of 1,,Sarojini Nagar,India-@ Delhi,Unfurnished,Bachelo^r)s,1,Contact Owner,10000
44720,1,,3 out of 4,Carpet Area,Lajpat Nagar,India-@ Delhi,Furnished,Ba|ch/elors/Family,1,Contact Agent,17000
44691,,700,1 out of 5,,Mayur Vihar 1,India-^ Delhi,Semi-Furnished,Bachelo\=rs/Family,1,Contact Owner,18000
,2,1000,1 out of 4,Carpet Area,"Arjun Garh, Aya Nagar",=-9 Delhi,Semi-Furnished,Ba/ch|elors,2,Contact Agent,14000
44733,1.0 room,450,1 out of 4,,"Paryavaran Complex, Sainik Farm",>-9 Delhi,Furnished,Bachel{ors/Fa}mily,1,Contact Agent,17000
44713,,1200,10 out of 10,,DS 19,,,||Family,2,Contact Owner,27000
44751,3,1200,2 out of 4,Carpet Area,Patparganj,[-9 Delhi,Semi-Furnished,Bac!h^elors,2,Contact Agent,25000
44680,2,900,3 out of 4,,,?-9 Delhi,,,2,Contact Owner,23000
44726,2,84,,Carpet Area,Paschim Vihar,^-9 Delhi,Furnished,Bac?hel(ors,2,Contact Agent,24500
44733,1,200,1 out of 2,Carpet Area,East Of Kailash,)-9 Delhi,Unfurnished,]Ba\chelors/Family,,Contact Owner,10000
44703,2,1300,2 out of 3,Super Area,Kalkaji,",-9 Delhi",Unfurnished,,2,,35000
44746,2,1300,Ground out of 2,Carpet Area,Aya Nagar Extension,"India-, Delhi",,,2,,27000
44732,1,200,,,kst chattarpur Apartments,%-9 Delhi,Unfurnished,+Bachelors*,1,Contact Agent,7000
44746,1,300,Ground out of 4,Carpet Area,Laxmi Nagar,India-\ Delhi,Semi-Furnished,.Bachelors/Family&,1,Contact Agent,5000
44685,2,,3 out of 4,Carpet Area,"Mohan Garden, Razapur Khurd",",-9 Delhi",Unfurnished,]Bachelors/Fami?ly,,Contact Owner,5000
44711,2,950,,Super Area,Uttam Nagar,India-/ Delhi,Semi-Furnished,Bac'<helors,1,Contact Owner,12000
44703,,750,2 out of 4,Carpet Area,"Arjun Nagar, Safdarjung Enclave",India-( Delhi,,(Bac^helors/Family,2,Contact Agent,30000
44699,2,950,Ground out of 4,,"East End Apartments, Ph. 1ext near new Ashok nagar",!-9 Delhi,,Bachelor!*s/Family,,Contact Owner,25000
44740,1,350,1 out of 4,Carpet Area,,India-* Delhi,Semi-Furnished,Ba>\chelors/Family,1,,6000
44708,3,2000,3 out of 4,Super Area,Jangpura,India-_ Delhi,Unfurnished,,3,Contact Owner,45000
44746,,,Ground out of 4,Carpet Area,Janakpuri,India-+ Delhi,Unfurnished,&Bachelo=rs,3,Contact Agent,40000
44691,2,60,2 out of 5,,,India-| Delhi,Semi-Furnished,Bachelor?s/Fami]ly,1,Contact Owner,8500
,,950.0Square Feet,,Carpet Area,"Indraprastha Extension, Patparganj",{-9 Delhi,Unfurnished,Bachelo]_rs,1,Contact Agent,16500
44703,3,1400,,Carpet Area,"Jangpura Extension, Jangpura",India-% Delhi,,Bac}helors/Fami?ly,3,Contact Agent,100000
44716,3,200,2 out of 3,Carpet Area,South Extension 1,"""-9 Delhi",Unfurnished,"Bac""helors/Fami:ly",,Contact Owner,52000
44693,1.0 room,450,2 out of 3,,Patel Nagar West,>-9 Delhi,Furnished,Bac_helors/F^amily,1,Contact Agent,12500
44691,2,600,3 out of 4,,"V3s East Centre, Laxmi Nagar",India-. Delhi,Unfurnished,"B'achelors/Fami,ly",2,Contact Owner,14000
44739,1,350,1 out of 3,Super Area,"Arjun Nagar, Safdarjung Enclave",&-9 Delhi,,Ba}%chelors/Family,1,,15000
44728,1,300,,Carpet Area,Ashok Nagar,India-| Delhi,Furnished,"Ba""chel^ors",1,Contact Owner,5000
44705,2,95,3 out of 3,,Safdarjung Enclave,India-! Delhi,Semi-Furnished,Bachelors/F_am}ily,2,Contact Agent,40000
,1,550,,Super Area,"DDA Rose Apartments, Dwarka Sector 18B",.-9 Delhi,,B+achelo=rs/Family,1,Contact Owner,17000
,,900.0Square Feet,1 out of 3,,Narela,,Furnished,Bachelors/Fa;mil}y,3,,15000
44728,1.0 room,25,4 out of 6,Super Area,Hari Nagar Ashram,(-9 Delhi,Semi-Furnished,Bachelor>s%/Family,1,Contact Owner,6000
44727,3,325,1 out of 3,Carpet Area,Defence Colony,?-9 Delhi,,,3,Contact Agent,85000
,2,,2 out of 4,,Rajouri Garden,India-( Delhi,Semi-Furnished,Bachel=or>s/Family,2,Contact Owner,18000
44712,2,77,3 out of 4,,Mandawali,]-9 Delhi,Unfurnished,Bac=hel|ors/Family,1,Contact Owner,7500
44685,2,60,3 out of 4,Super Area,Bindapur,India-/ Delhi,Semi-Furnished,Bac_helors/[Family,1,Contact Owner,10000
44702,1,100,1 out of 1,Super Area,"Shiva Enclave, Paschim Vihar",&-9 Delhi,Furnished,Ba.chelors/Family&,1,Contact Owner,9000
44708,3,1300,3 out of 4,,Rohini Sector 22,"""-9 Delhi",,Bac\helors/Famil:y,,,24000
,2,500,1 out of 4,Carpet Area,Laxmi Nagar,India-} Delhi,Semi-Furnished,#Bac<helors/Family,2,Contact Agent,12000
44718,2,500,,Carpet Area,Laxmi Nagar,?-9 Delhi,Semi-Furnished,Bachelors/Fa+mi>ly,2,Contact Agent,10500
44725,2,1200,,Super Area,Pitampura,India-. Delhi,Semi-Furnished,"Bachelors/""?Family",2,Contact Owner,31000
44696,,250,Ground out of 3,Super Area,"Jai laxmi Apartments, Indraprastha Extension, Patparganj",India-> Delhi,Semi-Furnished,,,Contact Owner,9000
44716,2,,4 out of 5,,Sant Nagar,,Semi-Furnished,Bachelor.s/Family|,1,Contact Owner,9000
44743,3,1050,Ground out of 4,Carpet Area,"Nalanda Apartment, Vikaspuri",,Unfurnished,^F#amily,,Contact Agent,27000
,2,500,2 out of 4,,Laxmi Nagar,--9 Delhi,,B^achelors/Fam!ily,,Contact Agent,12500
44748,2,1100,1 out of 2,Super Area,Medavakkam,%-9 Chennai,Semi-Furnished,"Bac""helo#rs",2,Contact Owner,15000
44702,2,1000.0Square Feet,Ground out of 1,Super Area,"Urapakkam, Vandalur R.F, GST Road",^-9 Chennai,Semi-Furnished,Ba\chelors/Famil}y,2,Contact Owner,6500
44701,,,1 out of 3,Carpet Area,"R.A Puram, Mandaiveli",India-: Chennai,Semi-Furnished,Bache^l}ors/Family,3,Contact Agent,90000
44752,3,3000,1 out of 1,Super Area,Madras Boat Club Road,,,Family:=,4,Contact Agent,200000
44737,1,650,Ground out of 2,Carpet Area,Kambar Colony,]-9 Chennai,Semi-Furnished,Bachelors/Fa&m]ily,1,Contact Owner,15000
,2,,17 out of 31,,Thalambur,--9 Chennai,Semi-Furnished,Ba$che-lors,2,Contact Owner,15000
44726,2,,1 out of 3,Super Area,Anakaputhur,India-) Chennai,Unfurnished,Ba\chelors/Family\,2,Contact Owner,7600
